Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
4/6/2021,Greenlight Card,,Overland Mini Market,,Childcare:Furnishings,,,-3.5
4/12/2021,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
4/19/2021,Greenlight Card,,Bobs Food Market,,Childcare:Furnishings,,,-7.47
Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
5/2/2021,Greenlight Card,,Microsoft Corporation,OneDrive,Childcare:Furnishings,,,-1.99
5/3/2021,Greenlight Card,,Spotify,,Childcare:Leisure,,,-9.99
5/3/2021,Greenlight Card,,Apple,,Childcare:Leisure,,,-2.99
5/6/2021,Greenlight Card,,QuayUSA,,Childcare:Furnishings,,,-22.68
5/6/2021,Greenlight Card,,Apple,,Childcare:Leisure,,,-0.99
5/7/2021,Greenlight Card,,Starbucks,,Childcare:Furnishings,,,-2.25
5/7/2021,Greenlight Card,,Starbucks,,Childcare:Furnishings,,,-5.45
5/7/2021,Greenlight Card,,Starbucks,,Childcare:Furnishings,,,-6.25
5/9/2021,Greenlight Card,,Monty's Goodburger,,Childcare:Furnishings,,,-44.35
5/10/2021,Greenlight Card,,Jackson Coffee Co.,,Childcare:Furnishings,,,-20.95
5/12/2021,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
5/13/2021,Greenlight Card,,Transfer Money,,[inflow account],,,4.37
5/22/2021,Greenlight Card,,Apple,,Childcare:Leisure,,,-7.98
5/28/2021,Greenlight Card,,Transfer Money,,[inflow account],,,150
